Dimension,Function,Algorithm,Run,FinalError,FEterm,Reached
10,1,PDABC,1,1e-08,24996.0,True
10,1,PDABC,2,1e-08,25426.0,True
10,1,PDABC,3,1e-08,27318.0,True
10,1,PDABC,4,1e-08,26298.0,True
10,1,PDABC,5,1e-08,24776.0,True
10,1,PDABC,6,1e-08,24887.0,True
10,1,PDABC,7,1e-08,24474.0,True
10,1,PDABC,8,1e-08,25164.0,True
10,1,PDABC,9,1e-08,24769.0,True
10,1,PDABC,10,1e-08,22964.0,True
10,1,PDABC,11,1e-08,24219.0,True
10,1,PDABC,12,1e-08,25642.0,True
10,1,PDABC,13,1e-08,25349.0,True
10,1,PDABC,14,1e-08,24844.0,True
10,1,PDABC,15,1e-08,24601.0,True
10,1,PDABC,16,1e-08,23620.0,True
10,1,PDABC,17,1e-08,24538.0,True
10,1,PDABC,18,1e-08,24477.0,True
10,1,PDABC,19,1e-08,24572.0,True
10,1,PDABC,20,1e-08,24469.0,True
10,1,PDABC,21,1e-08,23655.0,True
10,1,PDABC,22,1e-08,25236.0,True
10,1,PDABC,23,1e-08,24980.0,True
10,1,PDABC,24,1e-08,25469.0,True
10,1,PDABC,25,1e-08,24156.0,True
10,1,PDABC,26,1e-08,25617.0,True
10,1,PDABC,27,1e-08,23805.0,True
10,1,PDABC,28,1e-08,25419.0,True
10,1,PDABC,29,1e-08,24497.0,True
10,1,PDABC,30,1e-08,24395.0,True
10,1,ABC,1,1e-08,114099.0,True
10,1,ABC,2,1e-08,106463.0,True
10,1,ABC,3,1e-08,187116.0,True
10,1,ABC,4,1e-08,103809.0,True
10,1,ABC,5,1e-08,115679.0,True
10,1,ABC,6,1e-08,133946.0,True
10,1,ABC,7,1e-08,143939.0,True
10,1,ABC,8,1e-08,131258.0,True
10,1,ABC,9,1e-08,99688.0,True
10,1,ABC,10,1e-08,157899.0,True
10,1,ABC,11,1e-08,107896.0,True
10,1,ABC,12,1e-08,137266.0,True
10,1,ABC,13,1e-08,179258.0,True
10,1,ABC,14,1e-08,126218.0,True
10,1,ABC,15,1e-08,148200.0,True
10,1,ABC,16,1e-08,167375.0,True
10,1,ABC,17,1e-08,133587.0,True
10,1,ABC,18,1e-08,125275.0,True
10,1,ABC,19,1e-08,129636.0,True
10,1,ABC,20,1e-08,106711.0,True
10,1,ABC,21,1e-08,102210.0,True
10,1,ABC,22,1e-08,122607.0,True
10,1,ABC,23,1e-08,116379.0,True
10,1,ABC,24,1e-08,111322.0,True
10,1,ABC,25,1e-08,126997.0,True
10,1,ABC,26,1e-08,140250.0,True
10,1,ABC,27,1e-08,117796.0,True
10,1,ABC,28,1e-08,143806.0,True
10,1,ABC,29,1e-08,103450.0,True
10,1,ABC,30,1e-08,104433.0,True
10,1,ZOCMAES,1,0.0,14643.0,True
10,1,ZOCMAES,2,1e-06,200000.0,False
10,1,ZOCMAES,3,0.0,16990.0,True
10,1,ZOCMAES,4,1e-06,200000.0,False
10,1,ZOCMAES,5,2e-06,200000.0,False
10,1,ZOCMAES,6,0.0,19953.0,True
10,1,ZOCMAES,7,0.0,14642.0,True
10,1,ZOCMAES,8,1e-06,200000.0,False
10,1,ZOCMAES,9,4e-06,200000.0,False
10,1,ZOCMAES,10,5e-06,200000.0,False
10,1,ZOCMAES,11,3e-06,200000.0,False
10,1,ZOCMAES,12,0.0,19498.0,True
10,1,ZOCMAES,13,0.0,28621.0,True
10,1,ZOCMAES,14,0.0,18560.0,True
10,1,ZOCMAES,15,1e-06,200000.0,False
10,1,ZOCMAES,16,0.0,20223.0,True
10,1,ZOCMAES,17,0.0,26616.0,True
10,1,ZOCMAES,18,0.0,23972.0,True
10,1,ZOCMAES,19,0.0,12939.0,True
