Dimension,Function,Algorithm,Score
10,1,PDABC,6732.0
10,1,ABC,1174.0
10,1,ZOCMAES,4210.0
10,1,EA4eigN100_10,4551.0
10,1,NL-SHADE-LBC,5730.0
10,1,S_LSHADE_DP,818.0
10,1,NL-SHADE-RSP-MID,3090.0
10,1,Co-PPSO,4307.0
10,1,NLSOMACLP,1788.0
10,2,PDABC,2908.0
10,2,ABC,1711.0
10,2,ZOCMAES,4501.0
10,2,EA4eigN100_10,3798.0
10,2,NL-SHADE-LBC,6612.0
10,2,S_LSHADE_DP,4318.0
10,2,NL-SHADE-RSP-MID,5336.0
10,2,Co-PPSO,1744.0
10,2,NLSOMACLP,1472.0
10,3,PDABC,6828.0
10,3,ABC,6672.0
10,3,ZOCMAES,2.0
10,3,EA4eigN100_10,2854.0
10,3,NL-SHADE-LBC,4500.0
10,3,S_LSHADE_DP,1802.0
10,3,NL-SHADE-RSP-MID,5400.0
10,3,Co-PPSO,3210.0
10,3,NLSOMACLP,1132.0
10,4,PDABC,2438.0
10,4,ABC,2.0
10,4,ZOCMAES,6531.5
10,4,EA4eigN100_10,6227.5
10,4,NL-SHADE-LBC,5978.0
10,4,S_LSHADE_DP,4134.0
10,4,NL-SHADE-RSP-MID,1990.5
10,4,Co-PPSO,3064.5
10,4,NLSOMACLP,2034.0
10,5,PDABC,4505.0
10,5,ABC,788.0
10,5,ZOCMAES,2332.0
10,5,EA4eigN100_10,5070.0
10,5,NL-SHADE-LBC,7200.0
10,5,S_LSHADE_DP,2430.0
10,5,NL-SHADE-RSP-MID,680.0
10,5,Co-PPSO,6150.0
10,5,NLSOMACLP,3245.0
10,6,PDABC,1491.0
10,6,ABC,61.0
10,6,ZOCMAES,3203.0
10,6,EA4eigN100_10,7032.0
10,6,NL-SHADE-LBC,5602.0
10,6,S_LSHADE_DP,4433.0
10,6,NL-SHADE-RSP-MID,5475.0
10,6,Co-PPSO,1174.0
10,6,NLSOMACLP,3929.0
10,7,PDABC,2475.0
10,7,ABC,996.0
10,7,ZOCMAES,1136.0
10,7,EA4eigN100_10,3691.0
10,7,NL-SHADE-LBC,5126.0
10,7,S_LSHADE_DP,4778.0
10,7,NL-SHADE-RSP-MID,7140.0
10,7,Co-PPSO,1213.0
10,7,NLSOMACLP,5845.0
10,8,PDABC,3204.0
10,8,ABC,1298.0
10,8,ZOCMAES,469.0
10,8,EA4eigN100_10,5477.0
10,8,NL-SHADE-LBC,5739.0
10,8,S_LSHADE_DP,5509.0
10,8,NL-SHADE-RSP-MID,4811.0
10,8,Co-PPSO,1265.0
10,8,NLSOMACLP,4628.0
10,9,PDABC,7200.0
10,9,ABC,4920.0
10,9,ZOCMAES,3630.0
10,9,EA4eigN100_10,5430.0
10,9,NL-SHADE-LBC,3540.0
10,9,S_LSHADE_DP,1950.0
10,9,NL-SHADE-RSP-MID,3540.0
10,9,Co-PPSO,180.0
10,9,NLSOMACLP,2010.0
10,10,PDABC,6636.5
10,10,ABC,6863.5
10,10,ZOCMAES,65.0
10,10,EA4eigN100_10,2119.0
10,10,NL-SHADE-LBC,2413.0
10,10,S_LSHADE_DP,4968.0
10,10,NL-SHADE-RSP-MID,4587.0
10,10,Co-PPSO,874.0
10,10,NLSOMACLP,3874.0
10,11,PDABC,6836.0
10,11,ABC,4568.0
10,11,ZOCMAES,5151.0
10,11,EA4eigN100_10,2704.5
10,11,NL-SHADE-LBC,5244.0
10,11,S_LSHADE_DP,931.0
10,11,NL-SHADE-RSP-MID,3659.0
10,11,Co-PPSO,2713.5
10,11,NLSOMACLP,593.0
10,12,PDABC,6360.0
10,12,ABC,7140.0
10,12,ZOCMAES,1497.0
10,12,EA4eigN100_10,5400.0
10,12,NL-SHADE-LBC,2009.5
10,12,S_LSHADE_DP,4254.0
10,12,NL-SHADE-RSP-MID,1714.5
10,12,Co-PPSO,1573.0
10,12,NLSOMACLP,2452.0
20,1,PDABC,7140.0
20,1,ABC,3236.0
20,1,ZOCMAES,4651.0
20,1,EA4eigN100_10,4708.0
20,1,NL-SHADE-LBC,6000.0
20,1,S_LSHADE_DP,960.0
