Dimension,Function,Algorithm_A,Algorithm_B,Score_A,Score_B,Score_Sum
10,1,PDABC,ABC,900.0,0.0,900.0
10,1,PDABC,ZOCMAES,462.0,438.0,900.0
10,1,PDABC,EA4eigN100_10,870.0,30.0,900.0
10,1,PDABC,NL-SHADE-LBC,900.0,0.0,900.0
10,1,PDABC,S_LSHADE_DP,900.0,0.0,900.0
10,1,PDABC,NL-SHADE-RSP-MID,900.0,0.0,900.0
10,1,PDABC,Co-PPSO,900.0,0.0,900.0
10,1,PDABC,NLSOMACLP,900.0,0.0,900.0
10,1,ABC,ZOCMAES,360.0,540.0,900.0
10,1,ABC,EA4eigN100_10,0.0,900.0,900.0
10,1,ABC,NL-SHADE-LBC,0.0,900.0,900.0
10,1,ABC,S_LSHADE_DP,472.0,428.0,900.0
10,1,ABC,NL-SHADE-RSP-MID,0.0,900.0,900.0
10,1,ABC,Co-PPSO,0.0,900.0,900.0
10,1,ABC,NLSOMACLP,342.0,558.0,900.0
10,1,ZOCMAES,EA4eigN100_10,532.0,368.0,900.0
10,1,ZOCMAES,NL-SHADE-LBC,540.0,360.0,900.0
10,1,ZOCMAES,S_LSHADE_DP,540.0,360.0,900.0
10,1,ZOCMAES,NL-SHADE-RSP-MID,540.0,360.0,900.0
10,1,ZOCMAES,Co-PPSO,540.0,360.0,900.0
10,1,ZOCMAES,NLSOMACLP,540.0,360.0,900.0
10,1,EA4eigN100_10,NL-SHADE-LBC,30.0,870.0,900.0
10,1,EA4eigN100_10,S_LSHADE_DP,900.0,0.0,900.0
10,1,EA4eigN100_10,NL-SHADE-RSP-MID,900.0,0.0,900.0
10,1,EA4eigN100_10,Co-PPSO,523.0,377.0,900.0
10,1,EA4eigN100_10,NLSOMACLP,900.0,0.0,900.0
10,1,NL-SHADE-LBC,S_LSHADE_DP,900.0,0.0,900.0
10,1,NL-SHADE-LBC,NL-SHADE-RSP-MID,900.0,0.0,900.0
10,1,NL-SHADE-LBC,Co-PPSO,900.0,0.0,900.0
10,1,NL-SHADE-LBC,NLSOMACLP,900.0,0.0,900.0
10,1,S_LSHADE_DP,NL-SHADE-RSP-MID,0.0,900.0,900.0
