Dimension,Function,Algorithm,MeanTrialValue_TR,CaseRank
10,1,PDABC,24821.066666666666,1.0
10,1,NL-SHADE-LBC,30561.0,2.0
10,1,EA4eigN100_10,47376.066666666666,3.0
10,1,Co-PPSO,51217.46666666667,4.0
10,1,NL-SHADE-RSP-MID,64664.333333333336,5.0
10,1,NLSOMACLP,117157.8,6.0
10,1,S_LSHADE_DP,126279.63333333333,7.0
10,1,ABC,128152.26666666666,8.0
10,1,ZOCMAES,400000000011872.56,9.0
10,2,NL-SHADE-RSP-MID,70820.46666666666,1.0
10,2,S_LSHADE_DP,134782.9,2.0
10,2,NL-SHADE-LBC,33333333363652.8,3.0
10,2,EA4eigN100_10,366666666703910.6,4.0
10,2,ZOCMAES,433333333349894.94,5.0
10,2,PDABC,933333333342109.6,6.0
10,2,ABC,1000000000000000.0,7.5
10,2,NLSOMACLP,1000000000000000.0,7.5
10,2,Co-PPSO,1000000000000001.8,9.0
10,3,PDABC,9259.966666666667,1.0
10,3,ABC,9484.933333333332,2.0
10,3,NL-SHADE-RSP-MID,35652.333333333336,3.0
10,3,NL-SHADE-LBC,53620.6,4.0
10,3,Co-PPSO,79622.0,5.0
10,3,EA4eigN100_10,85831.33333333333,6.0
10,3,S_LSHADE_DP,89956.2,7.0
10,3,NLSOMACLP,33333333423672.965,8.0
10,3,ZOCMAES,1000000000000000.6,9.0
10,4,EA4eigN100_10,733333333366341.4,1.0
10,4,ZOCMAES,833333333336109.2,2.0
10,4,NL-SHADE-LBC,1000000000000001.4,3.0
10,4,S_LSHADE_DP,1000000000000004.8,4.0
10,4,Co-PPSO,1000000000000006.6,5.0
10,4,PDABC,1000000000000007.5,6.0
10,4,NLSOMACLP,1000000000000009.4,7.0
10,4,NL-SHADE-RSP-MID,1000000000000010.0,8.0
10,4,ABC,1000000000000035.2,9.0
10,5,NL-SHADE-LBC,26774.733333333334,1.0
10,5,Co-PPSO,31698.0,2.0
10,5,EA4eigN100_10,44058.0,3.0
10,5,PDABC,53911.86666666667,4.0
10,5,S_LSHADE_DP,125341.53333333334,5.0
10,5,NLSOMACLP,33333333436044.37,6.0
10,5,ZOCMAES,666666666679998.0,7.0
10,5,NL-SHADE-RSP-MID,766666666705249.6,8.0
10,5,ABC,1000000000000000.1,9.0
10,6,EA4eigN100_10,1000000000000000.0,1.0
10,6,NL-SHADE-LBC,1000000000000000.1,2.5
10,6,NL-SHADE-RSP-MID,1000000000000000.1,2.5
10,6,S_LSHADE_DP,1000000000000000.2,4.0
10,6,NLSOMACLP,1000000000000000.5,5.0
10,6,ZOCMAES,1000000000000002.1,6.0
10,6,PDABC,1000000000000206.6,7.0
10,6,Co-PPSO,1000000000000333.2,8.0
10,6,ABC,1000000000002759.6,9.0
10,7,NL-SHADE-RSP-MID,77208.13333333333,1.0
10,7,NL-SHADE-LBC,146033.63333333333,2.0
10,7,S_LSHADE_DP,151657.53333333333,3.0
10,7,EA4eigN100_10,197539.73333333334,4.0
10,7,NLSOMACLP,100000000105167.8,5.0
10,7,ZOCMAES,933333333336032.0,6.0
10,7,PDABC,1000000000000001.1,7.0
10,7,ABC,1000000000000002.5,8.0
10,7,Co-PPSO,1000000000000008.8,9.0
10,8,EA4eigN100_10,1000000000000000.0,1.5
10,8,NL-SHADE-LBC,1000000000000000.0,1.5
10,8,S_LSHADE_DP,1000000000000000.1,3.0
10,8,NL-SHADE-RSP-MID,1000000000000000.2,4.5
10,8,NLSOMACLP,1000000000000000.2,4.5
10,8,PDABC,1000000000000000.4,6.0
10,8,ABC,1000000000000010.2,7.0
10,8,Co-PPSO,1000000000000015.5,8.0
10,8,ZOCMAES,1000000000000020.8,9.0
10,9,PDABC,42383.76666666667,1.0
10,9,S_LSHADE_DP,833333333355153.2,2.0
