Algorithm,Dimension,Function,Control,Control_mean,Other_mean,Control_median,Other_median,Statistic,p_value,Relation
ABC,10,1,PDABC,24821.066666666666,128152.26666666666,24772.5,125746.5,0.0,3.019859359162157e-11,+
Co-PPSO,10,1,PDABC,24821.066666666666,51217.46666666667,24772.5,50238.0,0.0,1.7202510031315483e-12,+
EA4eigN100_10,10,1,PDABC,24821.066666666666,47376.066666666666,24772.5,50238.0,30.0,9.737615162376002e-11,+
NL-SHADE-LBC,10,1,PDABC,24821.066666666666,30561.0,24772.5,30564.5,0.0,3.019859359162157e-11,+
NL-SHADE-RSP-MID,10,1,PDABC,24821.066666666666,64664.333333333336,24772.5,63755.5,0.0,3.017966798490446e-11,+
NLSOMACLP,10,1,PDABC,24821.066666666666,117157.8,24772.5,116278.5,0.0,3.019859359162157e-11,+
S_LSHADE_DP,10,1,PDABC,24821.066666666666,126279.63333333333,24772.5,126409.0,0.0,3.006634138511715e-11,+
ZOCMAES,10,1,PDABC,24821.066666666666,400000000011872.56,24772.5,25032.0,438.0,0.8644592744928133,=
ABC,10,2,PDABC,933333333342109.6,1000000000000000.0,1000000000000000.0,1000000000000000.0,436.0,0.6770677155020535,=
Co-PPSO,10,2,PDABC,933333333342109.6,1000000000000001.6,1000000000000000.0,1000000000000000.0,257.0,0.00033681178482076676,+
EA4eigN100_10,10,2,PDABC,933333333342109.6,366666666703910.6,1000000000000000.0,50238.0,568.0,0.066624556754195,=
NL-SHADE-LBC,10,2,PDABC,933333333342109.6,33333333363652.8,1000000000000000.0,30915.0,870.0,9.756554493564226e-11,-
NL-SHADE-RSP-MID,10,2,PDABC,933333333342109.6,70820.46666666666,1000000000000000.0,69616.5,900.0,4.107925138128255e-12,-
NLSOMACLP,10,2,PDABC,933333333342109.6,1000000000000000.0,1000000000000000.0,1000000000000000.0,265.0,0.0005539158542090577,+
S_LSHADE_DP,10,2,PDABC,933333333342109.6,134782.9,1000000000000000.0,133663.0,868.0,1.1961025640067208e-10,-
ZOCMAES,10,2,PDABC,933333333342109.6,433333333349894.94,1000000000000000.0,37489.0,570.0,0.05881937853210827,=
ABC,10,3,PDABC,9259.966666666667,9484.933333333332,9281.5,9415.5,372.0,0.2518808246619123,=
Co-PPSO,10,3,PDABC,9259.966666666667,79622.0,9281.5,79622.0,0.0,1.2117803970059759e-12,+
EA4eigN100_10,10,3,PDABC,9259.966666666667,85831.33333333333,9281.5,79622.0,0.0,4.080594529244815e-12,+
NL-SHADE-LBC,10,3,PDABC,9259.966666666667,53620.6,9281.5,53518.5,0.0,3.019859359162157e-11,+
NL-SHADE-RSP-MID,10,3,PDABC,9259.966666666667,35652.333333333336,9281.5,35631.0,0.0,3.019859359162157e-11,+
NLSOMACLP,10,3,PDABC,9259.966666666667,33333333423672.965,9281.5,93310.5,0.0,3.019859359162157e-11,+
S_LSHADE_DP,10,3,PDABC,9259.966666666667,89956.2,9281.5,89706.0,0.0,3.0141849228072565e-11,+
ZOCMAES,10,3,PDABC,9259.966666666667,1000000000000000.6,9281.5,1000000000000000.1,0.0,2.3859533141049918e-11,+
ABC,10,4,PDABC,1000000000000007.5,1000000000000035.4,1000000000000008.0,1000000000000034.0,0.0,2.3540865168896147e-11,+
Co-PPSO,10,4,PDABC,1000000000000007.5,1000000000000006.6,1000000000000008.0,1000000000000007.0,557.0,0.11028677358316287,=
EA4eigN100_10,10,4,PDABC,1000000000000007.5,733333333366341.5,1000000000000008.0,1000000000000001.0,891.0,4.690278571398278e-11,-
